type,name,crc32
mooneye,acceptance/ppu/intr_2_mode3_timing.gb,0
mooneye,acceptance/ppu/intr_2_oam_ok_timing.gb,0
mooneye,acceptance/ppu/lcdon_timing-GS.gb,4655de26
mooneye,acceptance/ppu/lcdon_write_timing-GS.gb,0
mooneye,acceptance/ppu/stat_irq_blocking.gb,5790edc0
mooneye,acceptance/ppu/stat_lyc_onoff.gb,5790edc0
mooneye,acceptance/ppu/vblank_stat_intr-GS.gb,b800217f
mooneye,acceptance/push_timing.gb,3b913c94
mooneye,acceptance/rapid_di_ei.gb,7bf92f54
mooneye,acceptance/ret_cc_timing.gb,5790edc0
mooneye,acceptance/ret_timing.gb,5790edc0
mooneye,acceptance/reti_intr_timing.gb,925d308c
mooneye,acceptance/reti_timing.gb,5790edc0
mooneye,acceptance/rst_timing.gb,899e0bf7
mooneye,acceptance/serial/boot_sclk_align-dmgABCmgb.gb,0
mooneye,acceptance/timer/div_write.gb,5790edc0
mooneye,acceptance/timer/rapid_toggle.gb,29dc9c87
mooneye,acceptance/timer/tim00_div_trigger.gb,f75e632e
mooneye,acceptance/timer/tim00.gb,f75e632e
mooneye,acceptance/timer/tim01_div_trigger.gb,790c1c6b
mooneye,acceptance/timer/tim01.gb,ef4fb6a4
mooneye,acceptance/timer/tim10_div_trigger.gb,e4a6238f
mooneye,acceptance/timer/tim10.gb,f75e632e
mooneye,acceptance/timer/tim11_div_trigger.gb,f75e632e
mooneye,acceptance/timer/tim11.gb,f75e632e
mooneye,acceptance/timer/tima_reload.gb,17b97c09
mooneye,acceptance/timer/tima_write_reloading.gb,0
mooneye,acceptance/timer/tma_write_reloading.gb,0
mooneye,emulator-only/mbc1/bits_bank1.gb,5790edc0
mooneye,emulator-only/mbc1/bits_bank2.gb,5790edc0
mooneye,emulator-only/mbc1/bits_mode.gb,5790edc0
mooneye,emulator-only/mbc1/bits_ramg.gb,5790edc0
mooneye,emulator-only/mbc1/multicart_rom_8Mb.gb,5790edc0
mooneye,emulator-only/mbc1/ram_256kb.gb,5790edc0
mooneye,emulator-only/mbc1/ram_64kb.gb,5790edc0
mooneye,emulator-only/mbc1/rom_16Mb.gb,5790edc0
mooneye,emulator-only/mbc1/rom_1Mb.gb,5790edc0
mooneye,emulator-only/mbc1/rom_2Mb.gb,5790edc0
mooneye,emulator-only/mbc1/rom_4Mb.gb,5790edc0
mooneye,emulator-only/mbc1/rom_512kb.gb,5790edc0
mooneye,emulator-only/mbc1/rom_8Mb.gb,5790edc0
mooneye,emulator-only/mbc2/bits_ramg.gb,5790edc0
mooneye,emulator-only/mbc2/bits_romb.gb,5790edc0
mooneye,emulator-only/mbc2/bits_unused.gb,5790edc0
mooneye,emulator-only/mbc2/ram.gb,5790edc0
mooneye,emulator-only/mbc2/rom_1Mb.gb,5790edc0
mooneye,emulator-only/mbc2/rom_2Mb.gb,5790edc0
mooneye,emulator-only/mbc2/rom_512kb.gb,5790edc0
mooneye,emulator-only/mbc5/rom_16Mb.gb,5790edc0
mooneye,emulator-only/mbc5/rom_1Mb.gb,5790edc0
mooneye,emulator-only/mbc5/rom_2Mb.gb,5790edc0
mooneye,emulator-only/mbc5/rom_32Mb.gb,5790edc0
mooneye,emulator-only/mbc5/rom_4Mb.gb,5790edc0
mooneye,emulator-only/mbc5/rom_512kb.gb,5790edc0
mooneye,emulator-only/mbc5/rom_64Mb.gb,5790edc0
mooneye,emulator-only/mbc5/rom_8Mb.gb,5790edc0
mooneye,manual-only/sprite_priority.gb,5bf2b362
mooneye,misc/bits/unused_hwio-C.gb,5790edc0
mooneye,misc/boot_div-A.gb,0
mooneye,misc/boot_div-cgb0.gb,0
mooneye,misc/boot_div-cgbABCDE.gb,0
mooneye,misc/boot_hwio-C.gb,0
mooneye,misc/boot_regs-A.gb,0
mooneye,misc/boot_regs-cgb.gb,0
mooneye,misc/ppu/vblank_stat_intr-C.gb,0
mooneye,tests/misc/bits/unused_hwio-C.gb,0
